"time","x","y","position","velocity","acceleration","jerk","heading"
0,400.11,301.804,0,0,0,0,9.68794e-09
0.02,400.131,301.804,0.0209998,1.04999,52.4996,2624.98,5.96239e-07
0.04,400.185,301.804,0.0749981,2.69991,82.4959,1499.81,7.44878e-06
0.06,400.281,301.804,0.17099,4.79959,104.984,1124.41,3.8471e-05
0.08,400.425,301.804,0.314966,7.1988,119.96,748.814,0.000129914
0.1,400.617,301.804,0.506912,9.59732,119.926,-1.73623,0.000334833
0.12,400.856,301.804,0.745811,11.9449,117.38,-127.27,0.00072258
0.14,401.144,301.804,1.03364,14.3914,122.325,247.236,0.00137763
0.16,401.478,301.804,1.36837,16.7366,117.261,-253.212,0.00239812
0.18,401.862,301.805,1.75198,19.1805,122.192,246.56,0.00389414
0.2,402.292,301.805,2.18243,21.5226,117.107,-254.256,0.00598578
0.22,402.771,301.805,2.6607,23.9132,119.526,120.979,0.00880089
0.24,403.298,301.805,3.18774,26.3519,121.939,120.64,0.0124727
0.26,403.872,301.805,3.76151,28.6889,116.85,-254.447,0.0171371
0.28,404.493,301.805,4.383,31.0742,119.261,120.546,0.0229302
0.3,405.162,301.805,5.05215,33.4577,119.174,-4.34586,0.0299848
0.32,405.879,301.806,5.76894,35.8395,119.093,-4.06582,0.0384278
0.34,406.643,301.806,6.53334,38.2198,119.012,-4.03218,0.0483771
0.36,407.455,301.807,7.34531,40.5987,118.947,-3.27913,0.0599379
0.38,408.315,301.808,8.20484,42.9764,118.886,-3.0294,0.0732003
0.4,409.221,301.809,9.1109,45.3032,116.34,-127.316,0.0882351
0.42,410.175,301.811,10.0655,47.7295,121.312,248.602,0.105091
0.44,411.178,301.813,11.0676,50.1053,118.791,-126.023,0.123793
0.46,412.226,301.816,12.1162,52.4313,116.3,-124.568,0.144337
0.48,413.323,301.819,13.2134,54.8576,121.316,250.803,0.166689
0.5,414.467,301.822,14.3571,57.1848,116.361,-247.739,0.19078
0.52,415.658,301.826,15.5483,59.5635,118.935,128.671,0.216509
0.54,416.898,301.831,16.7882,61.9941,121.529,129.72,0.243734
0.56,418.185,301.837,18.0748,64.327,116.646,-244.173,0.272279
0.58,419.519,301.844,19.409,66.7129,119.292,132.29,0.301923
0.6,420.901,301.852,20.7911,69.1021,119.461,8.4627,0.332409
0.62,422.331,301.86,22.221,71.4949,119.642,9.06043,0.363439
0.64,423.809,301.87,23.6988,73.8928,119.894,12.6138,0.394674
0.66,425.335,301.881,25.2247,76.2953,120.126,11.5717,0.425739
0.68,426.908,301.893,26.7978,78.6532,117.896,-111.511,0.456223
0.7,428.53,301.906,28.4201,81.1174,123.208,265.623,0.485681
0.72,430.201,301.92,30.0909,83.5369,120.975,-111.624,0.513642
0.74,431.919,301.936,31.8092,85.9138,118.845,-106.513,0.539608
0.76,433.686,301.953,33.5761,88.347,121.659,140.692,0.563067
0.78,435.502,301.972,35.3928,90.8376,124.528,143.464,0.583494
0.8,437.367,301.991,37.2575,93.234,119.822,-235.327,0.600364
0.82,439.274,302.011,39.1653,95.3882,107.709,-605.647,0.613126
0.84,441.213,302.032,41.1043,96.9488,78.0304,-1483.92,0.621292
0.86,443.173,302.053,43.0635,97.9632,50.72,-1365.52,0.624534
0.88,445.133,302.075,45.0241,98.03,3.34246,-2368.88,0.622711
0.9,447.082,302.096,46.973,97.4447,-29.2668,-1630.46,0.615909
0.92,449.004,302.116,48.8951,96.1057,-66.9477,-1884.05,0.604409
0.94,450.889,302.136,50.7804,94.2615,-92.2112,-1263.17,0.588656
0.96,452.728,302.154,52.6196,91.9593,-115.113,-1145.09,0.569187
0.98,454.521,302.172,54.4126,89.651,-115.414,-15.0337,0.546539
1,456.267,302.188,56.1583,87.2849,-118.306,-144.602,0.521237
1.02,457.965,302.203,57.8565,84.9125,-118.618,-15.6396,0.493797
1.04,459.615,302.218,59.5072,82.5336,-118.947,-16.4363,0.464722
1.06,461.218,302.23,61.1102,80.148,-119.28,-16.661,0.434492
1.08,462.773,302.242,62.6653,77.7573,-119.535,-12.738,0.403557
1.1,464.281,302.252,64.1725,75.3603,-119.848,-15.6331,0.372339
1.12,465.74,302.261,65.6317,72.9587,-120.081,-11.6641,0.341224
1.14,467.151,302.269,67.0427,70.5525,-120.309,-11.3785,0.310561
1.16,468.514,302.276,68.4056,68.1423,-120.509,-10.0322,0.280658
1.18,469.829,302.282,69.7211,65.7786,-118.186,116.182,0.251786
1.2,471.095,302.287,70.9874,63.3119,-123.334,-257.4,0.224173
1.22,472.314,302.291,72.2062,60.9428,-118.458,243.78,0.198011
1.24,473.484,302.295,73.3757,58.4719,-123.546,-254.392,0.173448
1.26,474.606,302.298,74.4977,56.0993,-118.629,245.846,0.150599
1.28,475.679,302.301,75.5712,53.6759,-121.171,-127.109,0.12954
1.3,476.704,302.303,76.5962,51.2517,-121.207,-1.77678,0.110316
1.32,477.681,302.305,77.5728,48.8276,-121.208,-0.0532516,0.0929376
1.34,478.609,302.306,78.5008,46.4036,-121.202,0.305571,0.0773893
1.36,479.488,302.307,79.3804,43.9802,-121.17,1.58741,0.0636285
1.38,480.319,302.308,80.2116,41.5576,-121.127,2.1275,0.0515902
1.4,481.102,302.309,80.9943,39.1362,-121.072,2.77229,0.0411897
1.42,481.837,302.309,81.7286,36.716,-121.007,3.23354,0.0323256
1.44,482.522,302.31,82.4146,34.2975,-120.929,3.90866,0.0248837
1.46,483.161,302.31,83.0532,31.9304,-118.351,128.901,0.0187392
1.48,483.75,302.31,83.6425,29.4652,-123.263,-245.615,0.0137609
1.5,484.292,302.31,84.1845,27.1017,-118.175,254.428,0.00981349
1.52,484.785,302.31,84.6773,24.64,-123.086,-245.547,0.0067609
1.54,485.231,302.31,85.1229,22.28,-117.998,254.388,0.00446905
1.56,485.627,302.31,85.5194,19.8217,-122.913,-245.764,0.00280849
1.58,485.977,302.31,85.8687,17.4651,-117.833,254.003,0.00165691
1.6,486.278,302.31,86.1699,15.0599,-120.259,-121.304,0.000901356
1.62,486.531,302.31,86.423,12.656,-120.193,3.32201,0.000440315
1.64,486.736,302.31,86.6281,10.2533,-120.135,2.8901,0.000185472
1.66,486.893,302.31,86.7851,7.8516,-120.087,2.408,6.32439e-05
1.68,487.002,302.31,86.8941,5.45062,-120.049,1.88494,1.60311e-05
1.7,487.067,302.31,86.9591,3.25018,-110.022,501.348,2.65148e-06
1.72,487.1,302.31,86.9921,1.65003,-80.0072,1500.75,2.09709e-07
1.74,487.111,302.31,87.0031,0.550003,-55.0015,1250.28,3.60922e-09
1.76,487.112,302.31,87.0041,0.05,-25.0001,1500.07,-1.40334e-14
1.78,487.112,302.31,87.0041,0,-2.5,1125.01,-1.40334e-14
