"time","x","y","position","velocity","acceleration","jerk","heading"
0,400.11,286.804,0.00599161,0.599161,29.958,1497.9,9.68794e-09
0.02,400.131,286.804,0.029958,1.79748,59.9161,1497.9,5.96239e-07
0.04,400.185,286.804,0.0838825,3.59496,89.8741,1497.9,7.44878e-06
0.06,400.281,286.804,0.179748,5.99161,119.832,1497.9,3.8471e-05
0.08,400.425,286.804,0.323547,8.38825,119.832,7.10543e-13,0.000129914
0.1,400.617,286.804,0.515278,10.7849,119.832,-4.26326e-12,0.000334833
0.12,400.856,286.804,0.754942,13.1815,119.832,9.23706e-12,0.00072258
0.14,401.144,286.804,1.04254,15.5782,119.832,-9.23706e-12,0.00137763
0.16,401.479,286.804,1.37807,17.9748,119.832,0,0.00239812
0.18,401.863,286.805,1.76153,20.3715,119.832,4.26326e-12,0.00389414
0.2,402.294,286.805,2.19293,22.7681,119.832,0,0.00598578
0.22,402.773,286.805,2.67226,25.1647,119.832,0,0.00880089
0.24,403.301,286.805,3.19952,27.5614,119.832,0,0.0124727
0.26,403.876,286.805,3.77471,29.958,119.832,-8.52651e-12,0.0171371
0.28,404.499,286.805,4.39784,32.3547,119.832,8.52651e-12,0.0229302
0.3,405.17,286.805,5.0689,34.7513,119.832,-8.52651e-12,0.0299848
0.32,405.889,286.806,5.78789,37.148,119.832,1.77636e-11,0.0384278
0.34,406.656,286.806,6.55482,39.5446,119.832,0,0.0483771
0.36,407.471,286.807,7.36968,41.9412,119.832,-1.77636e-11,0.0599379
0.38,408.334,286.808,8.23247,44.3379,119.832,0,0.0732003
0.4,409.244,286.809,9.14319,46.7345,119.832,0,0.0882351
0.42,410.203,286.811,10.1018,49.1312,119.832,1.77636e-11,0.105091
0.44,411.21,286.813,11.1084,51.5278,119.832,0,0.123793
0.46,412.264,286.816,12.163,53.9245,119.832,-1.77636e-11,0.144337
0.48,413.367,286.819,13.2654,56.3211,119.832,0,0.166689
0.5,414.517,286.822,14.4158,58.7177,119.832,0,0.19078
0.52,415.715,286.826,15.6141,61.1144,119.832,1.77636e-11,0.216509
0.54,416.962,286.831,16.8604,63.511,119.832,0,0.243734
0.56,418.256,286.837,18.1546,65.9077,119.832,0,0.272279
0.58,419.598,286.844,19.4967,68.3043,119.832,-3.55271e-11,0.301923
0.6,420.988,286.852,20.8867,70.7009,119.832,3.55271e-11,0.332409
0.62,422.426,286.86,22.3247,73.0976,119.832,0,0.363439
0.64,423.912,286.87,23.8106,75.4942,119.832,-3.55271e-11,0.394674
0.66,425.446,286.881,25.3445,77.8909,119.832,3.55271e-11,0.425739
0.68,427.027,286.893,26.9263,80.2875,119.832,-3.55271e-11,0.456223
0.7,428.657,286.907,28.556,82.6842,119.832,3.55271e-11,0.485681
0.72,430.335,286.921,30.2336,85.0808,119.832,0,0.513642
0.74,432.06,286.937,31.9592,87.4774,119.832,0,0.539608
0.76,433.833,286.954,33.7327,89.8741,119.832,0,0.563067
0.78,435.655,286.973,35.5542,92.2707,119.832,-3.55271e-11,0.583494
0.8,437.524,286.992,37.4236,94.6674,119.832,3.55271e-11,0.600364
0.82,439.435,287.012,39.3349,96.4649,89.8741,-1497.9,0.613126
0.84,441.376,287.033,41.2762,97.6632,59.9161,-1497.9,0.621292
0.86,443.336,287.054,43.2354,98.2623,29.958,-1497.9,0.624534
0.88,445.296,287.076,45.1963,97.8285,-21.6904,-2582.42,0.622711
0.9,447.243,287.097,47.1426,96.7956,-51.6484,-1497.9,0.615909
0.92,449.162,287.117,49.0622,95.1634,-81.6065,-1497.9,0.604409
0.94,451.043,287.137,50.9431,92.9321,-111.564,-1497.9,0.588656
0.96,452.877,287.155,52.7778,90.5355,-119.832,-413.381,0.569187
0.98,454.664,287.173,54.5645,88.1389,-119.832,-3.55271e-11,0.546539
1,456.403,287.189,56.3034,85.7422,-119.832,0,0.521237
1.02,458.094,287.204,57.9942,83.3456,-119.832,0,0.493797
1.04,459.737,287.218,59.6372,80.9489,-119.832,0,0.464722
1.06,461.332,287.23,61.2322,78.5523,-119.832,3.55271e-11,0.434492
1.08,462.879,287.242,62.7793,76.1556,-119.832,-3.55271e-11,0.403557
1.1,464.378,287.252,64.2784,73.759,-119.832,3.55271e-11,0.372339
1.12,465.829,287.261,65.7296,71.3624,-119.832,-3.55271e-11,0.341224
1.14,467.232,287.269,67.1329,68.9657,-119.832,0,0.310561
1.16,468.587,287.276,68.4883,66.5691,-119.832,3.55271e-11,0.280658
1.18,469.895,287.282,69.7957,64.1724,-119.832,-3.55271e-11,0.251786
1.2,471.154,287.287,71.0552,61.7758,-119.832,0,0.224173
1.22,472.366,287.291,72.2667,59.3791,-119.832,0,0.198011
1.24,473.529,287.295,73.4303,56.9825,-119.832,1.77636e-11,0.173448
1.26,474.645,287.298,74.546,54.5859,-119.832,-1.77636e-11,0.150599
1.28,475.713,287.301,75.6138,52.1892,-119.832,3.55271e-11,0.12954
1.3,476.733,287.303,76.6336,49.7926,-119.832,-3.55271e-11,0.110316
1.32,477.705,287.305,77.6055,47.3959,-119.832,0,0.0929376
1.34,478.629,287.306,78.5294,44.9993,-119.832,1.77636e-11,0.0773893
1.36,479.505,287.307,79.4054,42.6027,-119.832,0,0.0636285
1.38,480.333,287.308,80.2335,40.206,-119.832,-1.77636e-11,0.0515902
1.4,481.113,287.309,81.0137,37.8094,-119.832,1.77636e-11,0.0411897
1.42,481.845,287.309,81.7459,35.4127,-119.832,-1.77636e-11,0.0323256
1.44,482.529,287.31,82.4302,33.0161,-119.832,0,0.0248837
1.46,483.166,287.31,83.0665,30.6194,-119.832,2.70006e-11,0.0187392
1.48,483.754,287.31,83.655,28.2228,-119.832,-1.77636e-11,0.0137609
1.5,484.295,287.31,84.1954,25.8262,-119.832,8.52651e-12,0.00981349
1.52,484.787,287.31,84.688,23.4295,-119.832,-1.77636e-11,0.0067609
1.54,485.232,287.31,85.1326,21.0329,-119.832,1.77636e-11,0.00446905
1.56,485.628,287.31,85.5293,18.6362,-119.832,-8.52651e-12,0.00280849
1.58,485.977,287.31,85.8781,16.2396,-119.832,0,0.00165691
1.6,486.278,287.31,86.1789,13.8429,-119.832,0,0.000901356
1.62,486.531,287.31,86.4318,11.4463,-119.832,0,0.000440315
1.64,486.736,287.31,86.6368,9.04966,-119.832,4.26326e-12,0.000185472
1.66,486.893,287.31,86.7938,6.65302,-119.832,-4.26326e-12,6.32439e-05
1.68,487.002,287.31,86.9029,4.25637,-119.832,2.13163e-12,1.60311e-05
1.7,487.067,287.31,86.9684,2.29354,-98.1417,1084.52,2.65148e-06
1.72,487.1,287.31,87.0006,0.929866,-68.1837,1497.9,2.09709e-07
1.74,487.111,287.31,87.0116,0.165353,-38.2257,1497.9,3.60922e-09
1.76,487.112,287.31,87.0132,0,-8.26763,1497.9,-1.40334e-14
1.78,487.112,287.31,87.0132,0,0,413.381,-1.40334e-14
