"time","x","y","position","velocity","acceleration","jerk","heading"
0,400.11,271.804,0,0,0,0,9.68794e-09
0.02,400.131,271.804,0.0210002,1.05001,52.5004,2625.02,5.96239e-07
0.04,400.185,271.804,0.0750019,2.70009,82.5041,1500.19,7.44878e-06
0.06,400.281,271.804,0.17101,4.80041,105.016,1125.59,3.8471e-05
0.08,400.425,271.804,0.315034,7.2012,120.04,751.186,0.000129914
0.1,400.617,271.804,0.507088,9.60268,120.074,1.73623,0.000334833
0.12,400.856,271.804,0.746189,11.9551,117.62,-122.73,0.00072258
0.14,401.144,271.804,1.03436,14.4086,122.675,252.764,0.00137763
0.16,401.48,271.804,1.36963,16.7634,117.739,-246.788,0.00239812
0.18,401.864,271.805,1.75402,19.2196,122.814,253.765,0.00389414
0.2,402.296,271.805,2.18557,21.5774,117.887,-246.395,0.00598578
0.22,402.775,271.805,2.66531,23.9868,120.474,129.346,0.00880089
0.24,403.304,271.805,3.19427,26.4481,123.061,129.36,0.0124727
0.26,403.88,271.805,3.77049,28.8111,118.15,-245.553,0.0171371
0.28,404.505,271.805,4.395,31.2258,120.739,129.454,0.0229302
0.3,405.178,271.805,5.06785,33.6423,120.826,4.34586,0.0299848
0.32,405.899,271.806,5.78906,36.0606,120.91,4.23967,0.0384278
0.34,406.669,271.806,6.55867,38.4802,120.984,3.68447,0.0483771
0.36,407.487,271.807,7.37669,40.9014,121.056,3.60636,0.0599379
0.38,408.353,271.808,8.24317,43.3236,121.114,2.8675,0.0732003
0.4,409.267,271.809,9.1571,45.6968,118.66,-122.683,0.0882351
0.42,410.231,271.811,10.1205,48.1707,123.696,251.789,0.105091
0.44,411.242,271.813,11.1324,50.5949,121.208,-124.386,0.123793
0.46,412.302,271.816,12.1918,52.9691,118.711,-124.836,0.144337
0.48,413.411,271.819,13.3007,55.4428,123.683,248.578,0.166689
0.5,414.567,271.822,14.457,57.8155,118.638,-252.255,0.19078
0.52,415.772,271.826,15.6617,60.2371,121.079,122.061,0.216509
0.54,417.026,271.831,16.9158,62.7069,123.487,120.426,0.243734
0.56,418.327,271.837,18.2173,65.0743,118.374,-255.692,0.272279
0.58,419.677,271.844,19.5671,67.489,120.73,117.825,0.301923
0.6,421.075,271.852,20.9651,69.9002,120.563,-8.35789,0.332409
0.62,422.521,271.86,22.4113,72.3073,120.354,-10.4438,0.363439
0.64,424.015,271.87,23.9055,74.7105,120.163,-9.57321,0.394674
0.66,425.557,271.881,25.4476,77.1086,119.903,-12.9722,0.425739
